557,SRTRANSFIN,31-May-18,600,1483.3,112785,45114,CALCULATE
560,STAR,31-May-18,600,722.6,54234,21693,CALCULATE
563,SUNPHARMA,31-May-18,1100,524.45,75088,30035,CALCULATE
566,SUNTV,31-May-18,1000,924.75,125007,50003,CALCULATE
569,SUZLON,31-May-18,35000,11.85,59937,23975,CALCULATE
572,SYNDIBANK,31-May-18,9000,62.15,92947,37179,CALCULATE
575,TATACHEM,31-May-18,1500,693.95,130376,52150,CALCULATE
578,TATACOMM,31-May-18,800,649.25,64978,25991,CALCULATE
581,TATAELXSI,31-May-18,800,1053.75,105590,42236,CALCULATE
584,TATAGLOBAL,31-May-18,4500,283.95,160098,64039,CALCULATE
587,TATAMOTORS,31-May-18,1500,358.6,67365,26946,CALCULATE
590,TATAMTRDVR,31-May-18,2500,199.2,62575,25030,CALCULATE
593,TATAPOWER,31-May-18,9000,81.5,92565,37026,CALCULATE
596,TATASTEEL,31-May-18,1061,615.9,86126,34450,CALCULATE
599,TCS,31-May-18,250,2910.5,91048,36419,CALCULATE
602,TECHM,31-May-18,1200,641.65,96279,38511,CALCULATE
605,TITAN,31-May-18,1500,886.05,166323,66529,CALCULATE
608,TORNTPHARM,31-May-18,500,1299.65,81356,32542,CALCULATE
611,TORNTPOWER,31-May-18,3000,256.6,98340,39336,CALCULATE
614,TV18BRDCST,31-May-18,17000,68.45,285217,114087,CALCULATE
617,TVSMOTOR,31-May-18,1000,653.65,81852,32741,CALCULATE
620,UBL,31-May-18,700,1039.45,91176,36470,CALCULATE
623,UJJIVAN,31-May-18,1600,357.85,73092,29236,CALCULATE
626,ULTRACEMCO,31-May-18,200,4254.35,106371,42548,CALCULATE
629,UNIONBANK,31-May-18,4000,102.85,66564,26625,CALCULATE
632,UPL,31-May-18,1200,732.35,109905,43962,CALCULATE
635,VEDL,31-May-18,1750,321.9,70568,28227,CALCULATE
638,VGUARD,31-May-18,3000,241.3,90555,36222,CALCULATE
641,VOLTAS,31-May-18,1000,650.3,81485,32594,CALCULATE
644,WIPRO,31-May-18,2400,297.95,89514,35805,CALCULATE
647,WOCKPHARMA,31-May-18,900,789.7,151031,60412,CALCULATE
650,YESBANK,31-May-18,1750,316.7,69396,27758,CALCULATE
653,ZEEL,31-May-18,1300,579.25,94292,37716,CALCULATE
